image_path,datetime,species_label,probability,station_id
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1738.JPEG,2025-11-02 02:07:40,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1739.JPEG,2025-11-02 02:07:41,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1740.JPEG,2025-11-02 02:07:43,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1741.JPEG,2025-11-02 02:07:44,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1742.JPEG,2025-11-02 02:07:44,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1743.JPEG,2025-11-02 02:07:47,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1745.JPEG,2025-11-02 02:07:48,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1744.JPEG,2025-11-02 02:07:48,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1746.JPEG,2025-11-02 02:07:50,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1747.JPEG,2025-11-02 02:07:50,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1748.JPEG,2025-11-02 02:07:51,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1749.JPEG,2025-11-02 02:07:53,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1750.JPEG,2025-11-02 02:07:54,wild boar,0.95,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1751.JPEG,2025-11-02 02:07:54,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1753.JPEG,2025-11-02 02:07:58,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1752.JPEG,2025-11-02 02:07:58,wild boar,1.0,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1754.JPEG,2025-11-02 02:07:59,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1756.JPEG,2025-11-02 02:08:01,wild boar,0.99,r0039-dona_0033
/home/ijfviana/Documentos/Programacion/wildintel-project/wildintel-trapverify/examples/images/r0039-dona_0033/R0039-DONA_0033__20251102_1755.JPEG,2025-11-02 02:08:01,wild boar,0.99,r0039-dona_0033
